imdbID,Title,WatchedDate,Rating10
tt0011071,Convict 13,2013-11-14,5
tt0110912,Pulp Fiction,2012-10-20,9
tt0111055,Samt el qusur,2014-11-29,6
tt0111161,The Shawshank Redemption,2012-10-20,8
tt0111339,Szél,2016-04-06,8
tt1114740,Paul Blart: Mall Cop,2015-05-09,3
tt0111495,Trois couleurs: Rouge,2017-02-28,8
tt0111503,True Lies,2014-01-30,6
tt0111535,Tous les garçons et les filles de leur âge...: US Go Home,2013-09-27,7
tt0111607,Verhängnis,2015-11-30,7
tt1116184,Jackass 3D,2014-06-20,3
tt1117385,Felon,2012-10-20,5
tt0111751,Wrony,2016-04-06,8
tt0111786,Yang guang can lan de ri zi,2014-09-15,8
tt0111797,Yin shi nan nu,2014-04-09,8
tt1118665,Kafuka: Inaka isha,2013-10-09,6
tt1119646,The Hangover,2012-10-20,5
tt11197444,The Fall,2020-06-08,6
tt0112384,Apollo 13,2014-03-22,6
tt1123970,Phantomschmerz,2015-12-06,4
tt1124035,The Ides of March,2012-10-20,6
tt0112431,Babe,2013-11-08,5
tt0112573,Braveheart,2012-10-20,6
tt0112641,Casino,2013-01-03,6
tt0112767,Xích Lô,2014-02-18,8
tt1128075,Ai no mukidashi,2016-10-14,7
tt0112817,Dead Man,2013-06-21,6
tt0112896,Dracula: Dead and Loving It,2012-10-20,5
tt0112913,Do lok tin si,2012-10-20,8
tt1129442,Transporter 3,2014-04-03,4
tt1130884,Shutter Island,2012-10-20,6
tt0113118,Friday,2016-06-24,4
tt0113189,GoldenEye,2012-10-20,5
tt0113247,La haine,2012-04-26,8
tt0113256,Hao nan hao nu,2013-11-15,9
tt0113277,Heat,2013-03-19,6
tt0113409,In the Mouth of Madness,2012-10-20,6
tt0113497,Jumanji,2014-01-27,6
tt0113540,Kids,2018-06-18,5
tt0113557,Kjærlighetens kjøtere,2018-11-02,8
tt0113568,Kôkaku Kidôtai,2014-03-31,8
tt1136608,District 9,2012-10-20,7
tt0113725,Maboroshi no hikari,2015-09-01,8
tt0113840,"Moeder Dao, de schildpadgelijkende",2015-07-13,8
tt1139797,Låt den rätte komma in,2020-04-26,8
tt0114038,Chage & Aska: On Your Mark,2015-11-10,6
tt0114134,The Pillow Book,2014-06-01,7
tt0114148,Pocahontas,2014-01-27,6
tt1141702,I Believe in Unicorns,2017-11-24,6
tt0114323,Safe,2016-12-11,7
tt0114369,Se7en,2011-05-01,8
tt0114709,Toy Story,2013-08-02,6
tt0114746,Twelve Monkeys,2012-10-20,8
tt0114787,Underground,2015-03-17,6
tt0114814,The Usual Suspects,2012-10-20,6
tt0114898,Waterworld,2012-10-20,5
tt1149362,Das weiße Band - Eine deutsche Kindergeschichte,2012-10-20,7
tt0115028,Youchai,2015-10-23,8
tt0011508,Neighbors,2013-12-20,6
tt1151827,Räuber Kneißl,2014-09-01,6
tt1152836,Public Enemies,2012-10-20,6
tt0011541,One Week,2013-04-19,6
tt0115433,101 Dalmatians,2014-01-27,5
tt0011565,The Penalty,2014-09-25,7
tt0115751,Breaking the Waves,2018-11-03,8
tt0115940,Conte d'été,2014-12-03,8
tt0115964,Crash,2018-03-04,7
tt0116213,Eraser,2012-10-20,3
tt0116282,Fargo,2011-09-12,9
tt0116295,Feng yue,2015-10-01,9
tt0116367,From Dusk Till Dawn,2012-10-20,5
tt0011656,The Scarecrow,2013-12-22,7
tt0116629,Independence Day,2012-10-20,4
tt0116752,Kauas pilvet karkaavat,2014-07-10,6
tt0116767,Kizzu ritân,2014-08-29,8
tt0116830,Last Man Standing,2012-10-20,5
tt0116905,Lone Star,2020-03-24,8
tt0116922,Lost Highway,2012-10-20,8
